,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,white,1.9459101490553132,-1.3093333199837622,0.36,3.0301337002713233,-3.101092789211817,3.8066624897703196,170.0,1.001,3.0,-0.7985076962177716,8.8,6
1,white,1.840549633397487,-1.2039728043259361,0.34,0.47000362924573563,-3.0159349808715104,2.6390573296152584,132.0,0.994,3.3,-0.7133498878774648,9.5,6
2,white,2.0918640616783932,-1.2729656758128873,0.4,1.9315214116032138,-2.995732273553991,3.4011973816621555,97.0,0.9951,3.26,-0.8209805520698302,10.1,6
3,white,1.9740810260220096,-1.4696759700589417,0.32,2.1400661634962708,-2.8473122684357177,3.8501476017100584,186.0,0.9956,3.19,-0.916290731874155,9.9,6
4,white,1.9740810260220096,-1.4696759700589417,0.32,2.1400661634962708,-2.8473122684357177,3.8501476017100584,186.0,0.9956,3.19,-0.916290731874155,9.9,6
5,white,2.0918640616783932,-1.2729656758128873,0.4,1.9315214116032138,-2.995732273553991,3.4011973816621555,97.0,0.9951,3.26,-0.8209805520698302,10.1,6
6,white,1.824549292051046,-1.1394342831883648,0.16,1.9459101490553132,-3.101092789211817,3.4011973816621555,136.0,0.9949,3.18,-0.7550225842780328,9.6,6
7,white,1.9459101490553132,-1.3093333199837622,0.36,3.0301337002713233,-3.101092789211817,3.8066624897703196,170.0,1.001,3.0,-0.7985076962177716,8.8,6
8,white,1.840549633397487,-1.2039728043259361,0.34,0.47000362924573563,-3.0159349808715104,2.6390573296152584,132.0,0.994,3.3,-0.7133498878774648,9.5,6
9,white,2.0918640616783932,-1.5141277326297755,0.43,0.4054651081081644,-3.123565645063876,3.332204510175204,129.0,0.9938,3.22,-0.7985076962177716,11.0,6
10,white,2.0918640616783932,-1.3093333199837622,0.41,0.371563556432483,-3.4112477175156566,2.3978952727983707,63.0,0.9908,2.99,-0.579818495252942,12.0,5
11,white,2.151762203259462,-1.4696759700589417,0.4,1.4350845252893227,-3.3524072174927233,2.833213344056216,109.0,0.9947,3.14,-0.6348782724359695,9.7,5
12,white,2.066862759472976,-1.7147984280919266,0.37,0.1823215567939546,-3.2188758248682006,2.772588722239781,75.0,0.992,3.18,-0.4620354595965587,10.8,5
13,white,1.8870696490323797,-1.8325814637483102,0.4,0.4054651081081644,-3.123565645063876,3.871201010907891,143.0,0.9912,3.54,-0.6539264674066639,12.4,7
14,white,2.1162555148025524,-0.8675005677047231,0.62,2.9575110607337933,-3.2188758248682006,3.713572066704308,172.0,1.0002,2.98,-0.40047756659712525,9.7,5
15,white,1.8870696490323797,-1.7719568419318752,0.38,0.4054651081081644,-3.4420193761824103,3.332204510175204,112.0,0.9914,3.25,-0.5978370007556204,11.4,7
16,white,1.840549633397487,-0.7339691750802004,0.04,0.09531017980432493,-3.079113882493042,3.4011973816621555,99.0,0.9928,3.24,-1.0216512475319814,9.6,6
17,white,1.9763810611996573,-0.4155154439616658,0.48,0.1823215567939546,-3.540459448995663,3.367295829986474,75.0,0.9892,3.33,-0.941608539858445,12.8,8
18,white,2.0014800002101243,-1.0788096613719298,0.42,0.09531017980432493,-3.4112477175156566,2.833213344056216,171.0,0.9917,3.12,-0.6348782724359695,11.3,6
19,white,1.8718021769015913,-1.171182981502945,0.14,2.0149030205422647,-3.123565645063876,3.5263605246161616,133.0,0.9955,3.22,-0.6931471805599453,9.5,5
20,white,1.824549292051046,-0.4155154439616658,0.48,0.1823215567939546,-3.540459448995663,3.367295829986474,75.0,0.9892,3.33,-0.941608539858445,12.8,8
21,white,1.8562979903656263,-1.171182981502945,0.38,1.0647107369924282,-3.270169119255751,2.9444389791664403,102.0,0.9912,3.17,-1.0498221244986778,11.0,7
22,white,1.916922612182061,-1.3470736479666092,0.42,0.5306282510621704,-3.0159349808715104,3.713572066704308,122.0,0.993,3.47,-0.7339691750802004,10.5,8
23,white,2.028148247292285,-0.40047756659712525,0.14,0.4054651081081644,-2.6036901857779675,3.2188758248682006,168.0,0.9937,3.05,-0.6733445532637656,9.3,5
24,white,1.8870696490323797,-1.3093333199837622,0.41,0.26236426446749106,-2.9565115604007097,2.772588722239781,142.0,0.9951,3.42,-0.7550225842780328,10.0,6
25,white,1.9459101490553132,-1.3862943611198906,0.32,2.1972245773362196,-3.079113882493042,4.02535169073515,245.0,0.9955,3.25,-0.6931471805599453,10.4,6
26,white,1.9315214116032138,-1.4271163556401458,0.35,0.0,-2.9565115604007097,3.5553480614894135,146.0,0.993,3.45,-0.8209805520698302,10.0,6
